from,to,score_normal,score,pair,int
Canis latrans,Castor canadensis,0.9984,1.0,false,false
Canis latrans,Cynomys ludovicianus,0.9591,1.0,false,false
Canis latrans,Dicrostonyx groenlandicus,0.96065,1.0,false,false
Canis latrans,Dicrostonyx hudsonius,0.90405,1.0,false,false
Canis latrans,Dicrostonyx nunatakensis,0.883,1.0,false,false
Canis latrans,Dicrostonyx richardsoni,0.9043,1.0,false,false
Canis latrans,Gulo gulo,0.82425,1.0,false,false
Canis latrans,Ictidomys tridecemlineatus,0.8478,1.0,false,false
Canis latrans,Lemmiscus curtatus,0.8387,1.0,false,false
Canis latrans,Lemmus trimucronatus,0.97225,1.0,false,false
Canis latrans,Lepus americanus,0.9748,1.0,false,false
Canis latrans,Lepus arcticus,0.95545,1.0,false,false
Canis latrans,Lepus townsendii,0.92875,1.0,false,false
Canis latrans,Lontra canadensis,0.7603,1.0,false,false
Canis latrans,Marmota caligata,0.77505,1.0,false,false
Canis latrans,Marmota flaviventris,0.8389,1.0,false,false
Canis latrans,Marmota monax,0.7928,1.0,false,false
Canis latrans,Marmota vancouverensis,0.91795,1.0,false,false
Canis latrans,Martes americana,0.7967,1.0,false,false
Canis latrans,Martes pennanti,0.847,1.0,false,false
Canis latrans,Microtus chrotorrhinus,0.84695,1.0,false,false
Canis latrans,Microtus longicaudus,0.9924,1.0,false,false
Canis latrans,Microtus miurus,0.99035,1.0,false,false
Canis latrans,Microtus montanus,0.8768,1.0,false,false
Canis latrans,Microtus ochrogaster,0.8203,1.0,false,false
Canis latrans,Microtus oeconomus,0.9757,1.0,false,false
Canis latrans,Microtus oregoni,0.8859,1.0,false,false
Canis latrans,Microtus pennsylvanicus,0.79705,1.0,false,false
Canis latrans,Microtus pinetorum,0.98995,1.0,false,false
Canis latrans,Microtus richardsoni,0.97965,1.0,false,false
Canis latrans,Microtus townsendii,0.9985,1.0,false,false
Canis latrans,Microtus xanthognathus,0.8593,1.0,false,false
Canis latrans,Mus musculus,0.8438,1.0,false,false
Canis latrans,Mustela erminea,0.8197,1.0,false,false
Canis latrans,Mustela frenata,0.97355,1.0,false,false
Canis latrans,Mustela nigripes,0.77405,1.0,false,false
Canis latrans,Mustela nivalis,0.939,1.0,false,false
Canis latrans,Mustela subpalmata,0.9118,1.0,false,false
Canis latrans,Myodes gapperi,0.96175,1.0,false,false
Canis latrans,Myodes rutilus,0.92695,1.0,false,false
Canis latrans,Napaeozapus insignis,0.99765,1.0,false,false
Canis latrans,Neovison vison,0.9408,1.0,false,false
Canis latrans,Ochotona collaris,0.83835,1.0,false,false
Canis latrans,Ochotona princeps,0.82485,1.0,false,false
Canis latrans,Odocoileus virginianus,0.8113,1.0,false,false
Canis latrans,Ondatra zibethicus,0.9846,1.0,false,false
Canis latrans,Ovibos moschatus,0.7794,1.0,false,false
Canis latrans,Ovis canadensis,0.7737,1.0,false,false
Canis latrans,Phenacomys intermedius,0.975,1.0,false,false
Canis latrans,Phenacomys ungava,0.96795,1.0,false,false
Canis latrans,Poliocitellus franklinii,0.95435,1.0,false,false
Canis latrans,Scalopus aquaticus,0.79995,1.0,false,false
Canis latrans,Scapanus orarius,0.75375,1.0,false,false
Canis latrans,Sciurus niger,0.82695,1.0,false,false
Canis latrans,Sorex arcticus,0.9118,1.0,false,false
Canis latrans,Sorex haydeni,0.84975,1.0,false,false
Canis latrans,Sorex hoyi,0.94945,1.0,false,false
Canis latrans,Sorex maritimensis,0.96175,1.0,false,false
