from,to
Gulo gulo,Alces alces
Gulo gulo,Cervus elaphus
Gulo gulo,Odocoileus hemionus
Gulo gulo,Oreamnos americanus
Gulo gulo,Vulpes vulpes
Lynx canadensis,Canis latrans
Lynx canadensis,Sciurus carolinensis
Lynx rufus,Sciurus carolinensis
Lynx rufus,Zapus princeps
Lynx rufus,Zapus trinotatus
Martes americana,Lynx rufus
Martes pennanti,Canis latrans
Martes pennanti,Lasionycteris noctivagans
Martes pennanti,Sciurus carolinensis
Martes pennanti,Vulpes vulpes
Martes pennanti,Zapus hudsonius
Mustela erminea,Ochotona princeps
Mustela erminea,Sciurus carolinensis
Mustela erminea,Tamias striatus
Mustela nivalis,Microtus xanthognathus
Mustela nivalis,Sciurus carolinensis
Puma concolor,Canis latrans
Puma concolor,Lynx rufus
Taxidea taxus,Zapus hudsonius
Ursus arctos,Canis lupus
Ursus arctos,Castor canadensis
Ursus arctos,Mustela nivalis
Ursus arctos,Vulpes vulpes
Vulpes vulpes,Alces alces
Vulpes vulpes,Cervus elaphus
Vulpes vulpes,Rangifer tarandus
