code,gbifname,gbifid,equal
Mus musculus,Mus musculus,7429082,true
Mustela nivalis,Mustela nivalis,5218987,true
Vulpes vulpes,Vulpes vulpes,5219243,true
Mustela erminea,Mustela erminea,5219019,true
Canis lupus,Canis lupus,5219173,true
Lepus europaeus,Lepus europaeus,7952072,true
Ursus arctos,Ursus arctos,2433433,true
Dama dama,Dama dama,5220136,true
Ursus maritimus,Ursus maritimus,2433451,true
Lontra canadensis,Lontra canadensis,2433727,true
Enhydra lutris,Enhydra lutris,2433670,true
Corynorhinus townsendii,Corynorhinus townsendii,2432479,true
Euderma maculatum,Euderma maculatum,2432579,true
Myotis melanorhinus,Myotis melanorhinus,4266342,true
Myotis keenii,Myotis keenii,2432435,true
Myotis leibii,Myotis leibii,2432455,true
Myotis lucifugus,Myotis lucifugus,2432406,true
Myotis ciliolabrum,Myotis ciliolabrum,2432456,true
Myotis evotis,Myotis evotis,2432413,true
Myotis californicus,Myotis californicus,2432425,true
Myotis thysanodes,Myotis thysanodes,2432399,true
Myotis septentrionalis,Myotis septentrionalis,2432436,true
Myotis yumanensis,Myotis yumanensis,2432461,true
Myotis volans,Myotis volans,2432411,true
Eptesicus fuscus,Eptesicus fuscus,2432352,true
Lasiurus blossevillii,Lasiurus blossevillii,5218548,true
Lasiurus cinereus,Lasiurus cinereus,5218544,true
Lasiurus borealis,Lasiurus borealis,5218543,true
Lasionycteris noctivagans,Lasionycteris noctivagans,2432341,true
Perimyotis subflavus,Perimyotis subflavus,7665644,true
Antrozous pallidus,Antrozous pallidus,2432339,true
Ovis canadensis,Ovis canadensis,2441119,true
Ovis dalli,Ovis dalli,2441118,true
Oreamnos americanus,Oreamnos americanus,2441151,true
Alces alces,Alces alces,2440940,true
Odocoileus hemionus,Odocoileus hemionus,2440974,true
Odocoileus virginianus,Odocoileus virginianus,2440965,true
Rangifer tarandus,Rangifer tarandus,5220114,true
Didelphis virginiana,Didelphis virginiana,2439923,true
Castor canadensis,Castor canadensis,2439838,true
Erethizon dorsatum,Erethizon dorsatus,6066824,false
Sciurus carolinensis,Sciurus carolinensis,5219681,true
Glaucomys sabrinus,Glaucomys sabrinus,2437331,true
Marmota broweri,Marmota broweri,2437373,true
Marmota vancouverensis,Marmota vancouverensis,2437365,true
Urocitellus parryii,Urocitellus parryii,8303143,true
Urocitellus richardsonii,Urocitellus richardsonii,7905336,true
Callospermophilus saturatus,Callospermophilus saturatus,8102496,true
Ictidomys tridecemlineatus,Ictidomys tridecemlineatus,7994322,true
Poliocitellus franklinii,Poliocitellus franklinii,7946545,true
Callospermophilus lateralis,Callospermophilus lateralis,7593288,true
Urocitellus columbianus,Urocitellus columbianus,7786966,true
Neotamias ruficaudus,Neotamias ruficaudus,4972388,true
Sorex maritimensis,Sorex maritimensis,2436037,true
Sorex fumeus,Sorex fumeus,2435947,true
Sorex rohweri,Sorex rohweri,5787798,true
Scapanus townsendii,Scapanus townsendii,2436191,true
Dicrostonyx nunatakensis,Dicrostonyx nunatakensis,2438387,true
Ondatra zibethicus,Ondatra zibethicus,5219858,true
Microtus montanus,Microtus montanus,2438609,true
Microtus xanthognathus,Microtus xanthognathus,2438664,true
Peromyscus maniculatus,Peromyscus maniculatus,2437967,true
Synaptomys borealis,Synaptomys borealis,2438953,true
Sylvilagus transitionalis,Sylvilagus transitionalis,2436905,true
Ochotona collaris,Ochotona collaris,2437020,true
Ochotona princeps,Ochotona princeps,2436982,true
Lepus americanus,Lepus americanus,2436794,true
Lepus arcticus,Lepus arcticus,2436696,true
Lepus europaeus,Lepus europaeus,7952072,true
Lepus townsendii,Lepus townsendii,2436705,true
Sylvilagus floridanus,Sylvilagus floridanus,2436886,true
Sylvilagus nuttallii,Sylvilagus nuttallii,2436854,true
