metaweb,name,id
Acomys_cilicicus,Acomys cilicicus,2438254
Allocricetulus_eversmanni,Allocricetulus eversmanni,2439190
Lepus_granatensis,Lepus granatensis,2436790
Lepus_timidus,Lepus timidus,2436756
Lepus_tolai,Lepus tolai,2436778
Lutra_lutra,Lutra lutra,2433753
Lynx_lynx,Lynx lynx,2435240
Lynx_pardinus,Lynx pardinus,2435261
Marmota_baibacina,Marmota baibacina,8911743
Marmota_bobak,Marmota bobak,2437375
Marmota_marmota,Marmota marmota,2437377
Alopex_lagopus,Vulpes lagopus,5219303
Martes_foina,Martes foina,5218887
Martes_martes,Martes martes,5218878
Martes_zibellina,Martes zibellina,5218826
Meles_leucurus,Meles leucurus,2433868
Meles_meles,Meles meles,2433875
Meriones_crassus,Meriones crassus,5219724
Meriones_dahli,Meriones dahli,5219717
Meriones_libycus,Meriones libycus,5219725
Meriones_meridianus,Meriones meridianus,5219713
Meriones_persicus,Meriones persicus,5219719
Apodemus_agrarius,Apodemus agrarius,2437761
Meriones_tamariscinus,Meriones tamariscinus,5219727
Meriones_tristrami,Meriones tristrami,5219715
Meriones_vinogradovi,Meriones vinogradovi,5219716
Mesocricetus_auratus,Mesocricetus auratus,2438482
Mesocricetus_brandti,Mesocricetus brandti,2438484
Mesocricetus_newtoni,Mesocricetus newtoni,2438483
Mesocricetus_raddei,Mesocricetus raddei,2438481
Micromys_minutus,Micromys minutus,5219833
Microtus_agrestis,Microtus agrestis,2438616
Microtus_anatolicus,Microtus anatolicus,4265014
Apodemus_alpicola,Apodemus alpicola,2437769
Microtus_arvalis,Microtus arvalis,2438606
Microtus_bavaricus,Microtus bavaricus,2438594
Microtus_brachycercus,Microtus brachycercus,4265022
Microtus_cabrerae,Microtus cabrerae,2438668
Microtus_daghestanicus,Microtus daghestanicus,2438633
Microtus_dogramacii,Microtus dogramacii,4265011
Microtus_duodecimcostatus,Microtus duodecimcostatus,2438619
Microtus_felteni,Microtus felteni,2438597
Microtus_gerbei,Microtus gerbei,2438662
Microtus_gregalis,Microtus gregalis,2438648
Apodemus_epimelas,Apodemus epimelas,4264851
Microtus_guentheri,Microtus guentheri,2438628
Microtus_levis,Microtus levis,4265013
Microtus_liechtesteini,Microtus liechtensteini,4265021
Microtus_lusitanicus,Microtus lusitanicus,2438669
Microtus_majori,Microtus majori,2438654
Microtus_middendorffii,Microtus middendorffi,2438620
Microtus_multiplex,Microtus multiplex,2438647
Microtus_nasarovi,Microtus daghestanicus,2438633
Microtus_oeconomus,Microtus oeconomus,2438635
Microtus_savii,Microtus savii,2438650
Apodemus_flavicollis,Apodemus flavicollis,2437756
Microtus_schidlovskii,Microtus schidlovskii,4265017
Microtus_socialis,Microtus socialis,2438670
Microtus_subterraneus,Microtus subterraneus,2438660
Microtus_tatricus,Microtus tatricus,2438637
Microtus_thomasi,Microtus thomasi,2438625
Miniopterus_fuliginosus,Miniopterus schreibersii,9796816
Miniopterus_schreibersii,Miniopterus schreibersii,9796816
Mus_cypriacus,Mus cypriacus,5786703
Mus_macedonicus,Mus macedonicus,2438783
Mus_musculus,Mus musculus,7429082
Apodemus_hyrcanicus,Apodemus hyrcanicus,5219733
Mus_spicilegus,Mus spicilegus,2438805
Mus_spretus,Mus spretus,2438793
Muscardinus_avellanarius,Muscardinus avellanarius,2439658
Mustela_erminea,Mustela erminea,5219019
Mustela_eversmanii,Mustela eversmanii,5219057
Mustela_lutreola,Mustela lutreola,5219007
Mustela_nivalis,Mustela nivalis,5218987
Mustela_putorius,Mustela putorius,5218911
Mustela_sibirica,Mustela sibirica,5218972
Myodes_glareolus,Myodes glareolus,5706764
Apodemus_mystacinus,Apodemus mystacinus,2437773
Myodes_rufocanus,Myodes rufocanus,5706769
Myodes_rutilus,Myodes rutilus,5706762
Myomimus_roachi,Myomimus roachi,2439663
Myomimus_setzeri,Myomimus setzeri,2439662
Myopus_schisticolor,Myopus schisticolor,2439358
Myotis_alcathoe,Myotis alcathoe,4266346
Myotis_aurascens,Myotis aurascens,4409308
Myotis_bechsteinii,Myotis bechsteinii,2432427
Myotis_blythii,Myotis blythii,2432414
Myotis_brandtii,Myotis brandtii,7261875
Apodemus_ponticus,Apodemus ponticus,5219740
Myotis_capaccinii,Myotis capaccinii,2432430
Myotis_dasycneme,Myotis dasycneme,2432452
Myotis_daubentonii,Myotis daubentonii,2432439
Myotis_emarginatus,Myotis emarginatus,2432470
Myotis_hajastanicus,Myotis hajastanicus,4266457
Myotis_myotis,Myotis myotis,2432416
Myotis_mystacinus,Myotis mystacinus,9754263
Myotis_nattereri,Myotis nattereri,2432389
Myotis_nipalensis,Myotis nipalensis,7261898
Myotis_punicus,Myotis punicus,4266337
Apodemus_sylvaticus,Apodemus sylvaticus,2437760
Myotis_schaubi,Myotis schaubi,2432417
Neomys_anomalus,Neomys anomalus,7825895
Neomys_fodiens,Neomys fodiens,2435767
Neomys_teres,Neomys teres,5219474
Nyctalus_azoreum,Nyctalus azoreum,5218523
Nyctalus_lasiopterus,Nyctalus lasiopterus,5218525
Nyctalus_leisleri,Nyctalus leisleri,5218522
Nyctalus_noctula,Nyctalus noctula,5218524
Ochotona_hyperborea,Ochotona hyperborea,2437002
Acomys_minous,Acomys minous,2438264
Apodemus_uralensis,Apodemus uralensis,2437775
Ochotona_pusilla,Ochotona pusilla,2437017
Oryctolagus_cuniculus,Oryctolagus cuniculus,2436940
Otocolobus_manul,Felis manul,2435023
Ovis_aries,Ovis aries,2441110
Ovis_orientalis,Ovis aries,2441110
Panthera_pardus,Panthera pardus,5219436
Pipistrellus_kuhlii,Pipistrellus kuhlii,5218464
Pipistrellus_maderensis,Pipistrellus maderensis,5218476
Pipistrellus_nathusii,Pipistrellus nathusii,5218471
Pipistrellus_pipistrellus,Pipistrellus pipistrellus,5218465
Apodemus_witherbyi,Apodemus witherbyi,5706747
Pipistrellus_pygmaeus,Pipistrellus pygmaeus,5707150
Plecotus_auritus,Plecotus auritus,5218507
Plecotus_austriacus,Plecotus austriacus,5739437
Plecotus_kolombatovici,Plecotus kolombatovici,5739445
Plecotus_macrobullaris,Plecotus macrobullaris,5787719
Plecotus_sardus,Plecotus sardus,5739436
Plecotus_teneriffae,Plecotus teneriffae,5218519
Prometheomys_schaposchnikowi,Prometheomys schaposchnikowi,2438887
Pteromys_volans,Pteromys volans,2437258
Pygeretmus_platyurus,Pygeretmus platyurus,2439434
Arvicola_amphibius,Arvicola amphibius,4265185
Pygeretmus_pumilio,Pygeretmus pumilio,2439433
Rangifer_tarandus,Rangifer tarandus,5220114
Rhinolophus_blasii,Rhinolophus blasii,2432666
Rhinolophus_euryale,Rhinolophus euryale,2432621
Rhinolophus_ferrumequinum,Rhinolophus ferrumequinum,2432655
Rhinolophus_hipposideros,Rhinolophus hipposideros,2432614
Rhinolophus_mehelyi,Rhinolophus mehelyi,2432667
Rhombomys_opimus,Rhombomys opimus,2437935
Arvicola_sapidus,Arvicola sapidus,2438492
Rousettus_aegyptiacus,Rousettus aegyptiacus,2432953
Rupicapra_pyrenaica,Rupicapra pyrenaica,5220171
Rupicapra_rupicapra,Rupicapra rupicapra,5220170
Saiga_tatarica,Saiga tatarica,2441067
Sciurus_anomalus,Sciurus anomalus,8243249
Sciurus_vulgaris,Sciurus vulgaris,8211070
Sicista_armenica,Sicista armenica,2439444
Sicista_betulina,Sicista betulina,2439449
Sicista_caucasica,Sicista caucasica,2439440
Sicista_kazbegica,Sicista kazbegica,2439450
Arvicola_scherman,Arvicola scherman,4265186
Sicista_kluchorica,Sicista kluchorica,2439441
Sicista_severtzovi,Sicista severtzovi,2439442
Sicista_strandi,Sicista strandi,2439448
Sicista_subtilis,Sicista subtilis,2439439
Sorex_alpinus,Sorex alpinus,2435986
Sorex_antinorii,Sorex antinorii,2435998
Sorex_araneus,Sorex araneus,8316400
Sorex_caecutiens,Sorex caecutiens,2435994
Sorex_coronatus,Sorex coronatus,2436090
Atelerix_algirus,Atelerix algirus,2437136
Sorex_granarius,Sorex granarius,2436071
Sorex_isodon,Sorex isodon,2436016
Sorex_minutissimus,Sorex minutissimus,2435959
Sorex_minutus,Sorex minutus,7571319
Sorex_raddei,Sorex raddei,2436036
Sorex_samniticus,Sorex samniticus,2436103
Sorex_satunini,Sorex satunini,2436072
Sorex_tundrensis,Sorex tundrensis,2435975
Sorex_volnuchini,Sorex volnuchini,2436092
Spalax_arenarius,Spalax arenarius,2438884
Barbastella_barbastellus,Barbastella barbastellus,2432582
Spalax_ehrenbergi,Spalax ehrenbergi,4264694
Spalax_giganteus,Spalax giganteus,2438882
Spalax_graecus,Spalax graecus,2438885
Spalax_leucodon,Spalax leucodon,4264696
Spalax_microphthalmus,Spalax microphthalmus,2438883
Spalax_nehringi,Spalax nehringi,4264693
Spalax_uralensis,Spalax uralensis,4264697
Spalax_zemni,Spalax zemni,2438881
Spermophilus_citellus,Spermophilus citellus,2437304
Spermophilus_fulvus,Spermophilus fulvus,2437306
Barbastella_leucomelas,Barbastella leucomelas,2432581
Spermophilus_major,Spermophilus major,2437320
Spermophilus_musicus,Spermophilus musicus,2437308
Spermophilus_pygmaeus,Spermophilus pygmaeus,2437322
Spermophilus_suslicus,Spermophilus suslicus,2437323
Spermophilus_taurensis,Spermophilus taurensis,9040543
Spermophilus_xanthoprymnus,Spermophilus xanthoprymnus,2437301
Stylodipus_telum,Stylodipus telum,2439453
Suncus_etruscus,Suncus etruscus,2435506
Sus_scrofa,Sus scrofa,7705930
Tadarida_teniotis,Tadarida teniotis,2433009
Bison_bonasus,Bison bonasus,2441184
Talpa_caeca,Talpa caeca,8347063
Talpa_caucasica,Talpa caucasica,2436136
Talpa_davidiana,Talpa davidiana,2436158
Talpa_europaea,Talpa europaea,7872906
Talpa_levantis,Talpa levantis,2436131
Talpa_occidentalis,Talpa occidentalis,2436152
Talpa_romana,Talpa romana,2436140
Talpa_stankovici,Talpa stankovici,2436128
Tamias_sibiricus,Tamias sibiricus,2437450
Tatera_indica,Tatera indica,2438134
Calomyscus_urartensis,Calomyscus urartensis,2439354
Ursus_arctos,Ursus arctos,2433433
Ursus_maritimus,Ursus maritimus,2433451
Vespertilio_murinus,Vespertilio murinus,2432564
Vormela_peregusna,Vormela peregusna,2433709
Vulpes_corsac,Vulpes corsac,5219293
Vulpes_vulpes,Vulpes vulpes,5219243
Acomys_nesiotes,Acomys nesiotes,2438261
Canis_aureus,Canis aureus,5219219
Canis_lupus,Canis lupus,5219173
Capra_aegagrus,Capra hircus,2441056
Capra_caucasica,Capra caucasica,2441051
Capra_cylindricornis,Capra caucasica,2441051
Capra_ibex,Capra ibex,2441055
Capra_pyrenaica,Capra pyrenaica,2441054
Capreolus_capreolus,Capreolus capreolus,5220126
Capreolus_pygargus,Capreolus pygargus,5220127
Alces_alces,Alces alces,2440940
Castor_fiber,Castor fiber,4409131
Cervus_elaphus,Cervus elaphus,2440958
Chionomys_gud,Chionomys gud,2438160
Chionomys_nivalis,Chionomys nivalis,2438162
Chionomys_roberti,Chionomys roberti,2438161
Cricetulus_migratorius,Cricetulus migratorius,2438772
Cricetus_cricetus,Cricetus cricetus,2438704
Crocidura_arispa,Crocidura arispa,2435612
Crocidura_armenica,Crocidura armenica,2435558
Crocidura_canariensis,Crocidura canariensis,2435551
Allactaga_elater,Allactaga elater,2439489
Crocidura_caspica,Crocidura caspica,2435744
Crocidura_leucodon,Crocidura leucodon,2435723
Crocidura_pachyura,Crocidura pachyura,5787823
Crocidura_russula,Crocidura russula,2435654
Crocidura_serezkyensis,Crocidura serezkyensis,2435621
Crocidura_sicula,Crocidura sicula,2435553
Crocidura_suaveolens,Crocidura suaveolens,2435687
Crocidura_zimmermanni,Crocidura zimmermanni,2435665
Dama_dama,Dama dama,5220136
Allactaga_euphratica,Allactaga euphratica,2439484
Desmana_moschata,Desmana moschata,2436117
Dicrostonyx_torquatus,Dicrostonyx torquatus,2438384
Dinaromys_bogdanovi,Dinaromys bogdanovi,2438502
Diplomesodon_pulchellum,Diplomesodon pulchellum,2435917
Dipus_sagitta,Dipus sagitta,2439463
Dryomys_laniger,Dryomys laniger,2439686
Dryomys_nitedula,Dryomys nitedula,2439688
Eliomys_melanurus,Eliomys melanurus,2439684
Eliomys_quercinus,Eliomys quercinus,2439683
Ellobius_lutescens,Ellobius lutescens,2438762
Allactaga_major,Allactaga major,2439483
Ellobius_talpinus,Ellobius talpinus,2438760
Eptesicus_bobrinskoi,Eptesicus gobiensis,7261813
Eptesicus_bottae,Eptesicus bottae,2432346
Eptesicus_nilssonii,Eptesicus nilssonii,7261816
Eptesicus_serotinus,Eptesicus serotinus,2432359
Erinaceus_concolor,Erinaceus concolor,5219624
Erinaceus_europaeus,Erinaceus europaeus,5219616
Erinaceus_roumanicus,Erinaceus roumanicus,5219618
Felis_chaus,Felis chaus,2435066
Felis_margarita,Felis margarita,2435028
Allactaga_sibirica,Allactaga sibirica,2439490
Felis_silvestris,Felis silvestris,7964291
Galemys_pyrenaicus,Galemys pyrenaicus,5219516
Gazella_subgutturosa,Gazella subgutturosa,5220146
Genetta_genetta,Genetta genetta,5219362
Gerbillus_dasyurus,Dipodillus dasyurus,4264993
Glis_glis,Glis glis,5706486
Gulo_gulo,Gulo gulo,5219073
