metaweb,name,id,upham
Acomys_cilicicus,Acomys cilicicus,2438254,Acomys_cilicicus
Allocricetulus_eversmanni,Allocricetulus eversmanni,2439190,Allocricetulus_eversmanni
Lepus_granatensis,Lepus granatensis,2436790,Lepus_granatensis
Lepus_timidus,Lepus timidus,2436756,Lepus_timidus
Lepus_tolai,Lepus tolai,2436778,Lepus_tolai
Lutra_lutra,Lutra lutra,2433753,Lutra_lutra
Lynx_lynx,Lynx lynx,2435240,Lynx_lynx
Lynx_pardinus,Lynx pardinus,2435261,Lynx_pardinus
Marmota_baibacina,Marmota baibacina,8911743,Marmota_baibacina
Marmota_bobak,Marmota bobak,2437375,Marmota_bobak
Marmota_marmota,Marmota marmota,2437377,Marmota_marmota
Alopex_lagopus,Vulpes lagopus,5219303,Vulpes_lagopus
Martes_foina,Martes foina,5218887,Martes_foina
Martes_martes,Martes martes,5218878,Martes_martes
Martes_zibellina,Martes zibellina,5218826,Martes_zibellina
Meles_leucurus,Meles leucurus,2433868,Meles_leucurus
Meles_meles,Meles meles,2433875,Meles_meles
Meriones_crassus,Meriones crassus,5219724,Meriones_crassus
Meriones_dahli,Meriones dahli,5219717,Meriones_dahli
Meriones_libycus,Meriones libycus,5219725,Meriones_libycus
Meriones_meridianus,Meriones meridianus,5219713,Meriones_meridianus
Meriones_persicus,Meriones persicus,5219719,Meriones_persicus
Apodemus_agrarius,Apodemus agrarius,2437761,Apodemus_agrarius
Meriones_tamariscinus,Meriones tamariscinus,5219727,Meriones_tamariscinus
Meriones_tristrami,Meriones tristrami,5219715,Meriones_tristrami
Meriones_vinogradovi,Meriones vinogradovi,5219716,Meriones_vinogradovi
Mesocricetus_auratus,Mesocricetus auratus,2438482,Mesocricetus_auratus
Mesocricetus_brandti,Mesocricetus brandti,2438484,Mesocricetus_brandti
Mesocricetus_newtoni,Mesocricetus newtoni,2438483,Mesocricetus_newtoni
Mesocricetus_raddei,Mesocricetus raddei,2438481,Mesocricetus_raddei
Micromys_minutus,Micromys minutus,5219833,Micromys_minutus
Microtus_agrestis,Microtus agrestis,2438616,Microtus_agrestis
Microtus_anatolicus,Microtus anatolicus,4265014,Microtus_anatolicus
Apodemus_alpicola,Apodemus alpicola,2437769,Apodemus_alpicola
Microtus_arvalis,Microtus arvalis,2438606,Microtus_arvalis
Microtus_bavaricus,Microtus bavaricus,2438594,Microtus_bavaricus
Microtus_brachycercus,Microtus brachycercus,4265022,Microtus_brachycercus
Microtus_cabrerae,Microtus cabrerae,2438668,Microtus_cabrerae
Microtus_daghestanicus,Microtus daghestanicus,2438633,Microtus_daghestanicus
Microtus_dogramacii,Microtus dogramacii,4265011,Microtus_dogramacii
Microtus_duodecimcostatus,Microtus duodecimcostatus,2438619,Microtus_duodecimcostatus
Microtus_felteni,Microtus felteni,2438597,Microtus_felteni
Microtus_gerbei,Microtus gerbei,2438662,Microtus_gerbei
Microtus_gregalis,Microtus gregalis,2438648,Microtus_gregalis
Apodemus_epimelas,Apodemus epimelas,4264851,Apodemus_epimelas
Microtus_guentheri,Microtus guentheri,2438628,Microtus_guentheri
Microtus_levis,Microtus levis,4265013,Microtus_levis
Microtus_liechtesteini,Microtus liechtensteini,4265021,Microtus_liechtensteini
Microtus_lusitanicus,Microtus lusitanicus,2438669,Microtus_lusitanicus
Microtus_majori,Microtus majori,2438654,Microtus_majori
Microtus_middendorffii,Microtus middendorffi,2438620,Microtus_middendorffii
Microtus_multiplex,Microtus multiplex,2438647,Microtus_multiplex
Microtus_nasarovi,Microtus daghestanicus,2438633,Microtus_daghestanicus
Microtus_oeconomus,Microtus oeconomus,2438635,Microtus_oeconomus
Microtus_savii,Microtus savii,2438650,Microtus_savii
Apodemus_flavicollis,Apodemus flavicollis,2437756,Apodemus_flavicollis
Microtus_schidlovskii,Microtus schidlovskii,4265017,Microtus_schidlovskii
Microtus_socialis,Microtus socialis,2438670,Microtus_socialis
Microtus_subterraneus,Microtus subterraneus,2438660,Microtus_subterraneus
Microtus_tatricus,Microtus tatricus,2438637,Microtus_tatricus
