from,to
Ursus americanus,Castor canadensis
Lynx canadensis,Castor canadensis
Ursus americanus,Alces americanus
Martes americana,Alces americanus
Lynx canadensis,Alces americanus
Canis latrans,Alces americanus
Vulpes vulpes,Alces americanus
Vulpes vulpes,Lynx canadensis
Ursus americanus,Rangifer tarandus
Martes americana,Rangifer tarandus
Lynx canadensis,Rangifer tarandus
Canis latrans,Rangifer tarandus
Vulpes vulpes,Rangifer tarandus
Martes americana,Sorex cinereus
Mustela vison,Sorex cinereus
Mustela erminea,Sorex cinereus
Lontra canadensis,Sorex cinereus
Vulpes vulpes,Sorex cinereus
Mustela erminea,Mustela erminea
Castor canadensis,Cheracebus purinus
Ursus americanus,Cheracebus purinus
Alces americanus,Cheracebus purinus
Rangifer tarandus,Cheracebus purinus
Peromyscus maniculatus,Cheracebus purinus
Tamias striatus,Cheracebus purinus
Mus musculus,Cheracebus purinus
Microtus pennsylvanicus,Cheracebus purinus
Rattus norvegicus,Cheracebus purinus
Lepus americanus,Cheracebus purinus
Myodes gapperi,Cheracebus purinus
Martes americana,Microtus pennsylvanicus
Mustela vison,Microtus pennsylvanicus
Lynx canadensis,Microtus pennsylvanicus
Canis latrans,Microtus pennsylvanicus
Mustela erminea,Microtus pennsylvanicus
Vulpes vulpes,Microtus pennsylvanicus
Vulpes vulpes,Rattus norvegicus
Martes americana,Sciurus vulgaris
Lynx canadensis,Sciurus vulgaris
Canis latrans,Sciurus vulgaris
Vulpes vulpes,Sciurus vulgaris
Ursus americanus,Lepus americanus
Martes americana,Lepus americanus
Mustela vison,Lepus americanus
Lynx canadensis,Lepus americanus
Canis latrans,Lepus americanus
Mustela erminea,Lepus americanus
Vulpes vulpes,Lepus americanus
Martes americana,Myodes gapperi
