sp,gen,gen_var,vul,vul_var,role
Canis latrans,148.68180000000004,7.52772086,6.28665,0.8720722575,int
Canis rufus,148.05729999999997,7.62998052,2.6827,1.31263329,int
Canis lupus,146.69084999999998,6.9507546825,2.5652500000000003,0.7176415475,int
Vulpes vulpes,131.80419999999995,9.038135044999999,6.5954500000000005,0.40413502749999997,int
Vulpes velox,118.64460000000001,10.5567888,6.09325,0.5789225424999999,int
Vulpes lagopus,117.9769,8.761965845,6.256349999999999,0.5595056325000001,int
Urocyon cinereoargenteus,113.17054999999998,11.822173402499999,7.12625,0.8586100175000002,int
Ursus americanus,81.70094999999993,17.336662482499996,3.82575,1.0950179825,int
Ursus arctos,80.41224999999999,11.4580465525,0.0,0.0,top
Martes pennanti,76.6513,9.228079919999999,7.79415,1.0506280625000002,int
Taxidea taxus,73.9171,12.950789225000001,4.5952,0.737359825,int
Gulo gulo,73.67180000000002,9.35385801,4.703199999999999,1.159331705,int
Neovison vison,72.55780000000003,8.791771245,7.614699999999999,0.5980393100000001,int
Spilogale putorius,72.4949,19.97854886,5.08885,2.3734384024999997,int
Mustela frenata,72.41125000000001,8.6919437775,7.868,0.72925244,int
Martes americana,70.59710000000001,10.10332001,7.664749999999999,1.3091644175000001,int
Neovison macrodon,70.58840000000001,8.75020771,7.62795,0.7255386225,int
Ursus maritimus,70.58399999999999,12.0892487,0.2437,0.21399633499999998,int
Lynx rufus,70.19089999999997,18.9542937,3.1418,0.7066451650000001,int
Mephitis mephitis,69.49695,17.2670205875,5.479050000000001,2.3797418974999998,int
Procyon lotor,69.30919999999999,17.11353041,5.468649999999999,2.3667004125,int
Enhydra lutris,67.7895,11.699053195000001,4.664,1.081653145,int
Mustela nigripes,65.76155,10.1360936125,7.2879000000000005,1.6371545600000001,int
Mustela subpalmata,65.74294999999998,8.4473556875,7.2735,1.297119755,int
Lontra canadensis,63.64895,8.926310342499999,5.494149999999999,1.2096528125,int
Puma concolor,60.79789999999999,17.79012532,2.0562,0.756786965,int
Lynx canadensis,60.60205,17.565078787500003,1.9777,0.6736414550000001,int
Didelphis virginiana,40.08050000000001,29.207659735,20.633399999999995,12.29810792,int
Neurotrichus gibbsii,25.2926,13.142699160000001,16.12065,7.2897768974999995,int
Eschrichtius robustus,24.663200000000003,14.218462,9.7039,5.33249619,int
Hyperoodon ampullatus,24.642899999999997,14.2579965,9.800349999999998,5.3789418225,int
Mesoplodon carlhubbsi,24.634899999999995,14.254372385,9.797749999999995,5.368333702499999,int
Phocoena phocoena,24.596849999999996,14.2262079575,9.722349999999999,5.3400253525,int
Delphinapterus leucas,24.535000000000004,14.257306805,9.88215,5.4302918575,int
Monodon monoceros,24.523250000000008,14.2396491325,9.772199999999998,5.3776519799999996,int
Phocoenoides dalli,24.445149999999998,14.1902579175,9.73585,5.3618201825,int
Kogia breviceps,24.414049999999996,14.1648026375,9.6839,5.33221753,int
Berardius bairdii,24.412649999999992,14.163683777500001,9.73895,5.324100037499999,int
Ziphius cavirostris,24.409100000000013,14.221827925,9.739199999999997,5.3703372499999995,int
Kogia sima,24.32249999999999,14.12514737,9.703249999999999,5.2835500475,int
Mesoplodon densirostris,24.202349999999996,14.1762082275,9.79415,5.3762271725,int
Mesoplodon bidens,23.815049999999996,13.6764819225,9.565900000000001,5.18844246,int
Mesoplodon stejnegeri,23.62125,13.6470660075,9.572600000000001,5.18323481,int
Mesoplodon mirus,23.428600000000003,13.534794825,9.5992,5.16942305,int
Mustela erminea,20.6221,7.382852075000001,5.600149999999999,0.9426069925,int
Mustela nivalis,6.5764000000000005,0.34952054,8.273100000000001,0.6148863250000001,int
Erethizon dorsatum,3.7879499999999995,3.3090193575,14.632,6.88987683,int
Perognathus fasciatus,3.1742500000000007,2.7878016775,17.566150000000004,7.514510447500001,int
Dipodomys ordii,3.1449999999999996,2.7660852,17.644399999999997,7.52429688,int
Geomys bursarius,3.11285,2.7287595175000003,17.675000000000004,7.5540367999999996,int
Thomomys talpoides,2.8844999999999996,2.541431025,17.534950000000002,7.4798414625,int
Perognathus parvus,2.64835,2.3334381825,17.701250000000005,7.4462599625,int
Cryptotis parva,0.7079,0.61998766,31.050299999999996,7.22772335,int
Blarina brevicauda,0.57985,0.5096509125,31.2212,7.129656069999999,int
Peromyscus leucopus,0.35795,0.31393355749999996,29.042599999999997,6.693584015,int
Peromyscus keeni,0.34940000000000004,0.307464915,29.116949999999996,6.629046387500001,int
Onychomys leucogaster,0.34055,0.3004473725,29.148200000000006,6.590015805,int
Neotoma cinerea,0.24075,0.2117697175,29.177899999999998,6.49638589,int
Reithrodontomys megalotis,0.2405,0.211563055,29.315300000000008,6.461740425,int
Peromyscus maniculatus,0.23299999999999998,0.205854055,29.33935,6.396108152499999,int
Sorex vagrans,0.19290000000000002,0.174191115,33.175599999999996,6.484669504999999,int
Sorex fumeus,0.1923,0.173712355,33.20955000000001,6.4499326225,int
Sorex dispar,0.19105,0.17271479750000002,33.18150000000001,6.46235177,int
Sorex rohweri,0.19090000000000001,0.17248847,33.16465,6.4775577725,int
Sorex monticolus,0.1894,0.171232695,33.23715000000001,6.4352072074999995,int
Sorex cinereus,0.18309999999999998,0.166205975,33.19305000000001,6.4336341375,int
Antrozous pallidus,0.18109999999999998,0.164688895,1.0103499999999999,0.8569981524999999,int
Condylura cristata,0.1049,0.09389599,15.631749999999997,5.7517408025,int
Sorex preblei,0.0913,0.08296431,33.231750000000005,6.3945582375,int
Sorex palustris,0.09015,0.0820229775,33.2605,6.350062995,int
Sorex bendirii,0.08275,0.0759024375,33.30065,6.282632317499999,int
Corynorhinus townsendii,0.0,0.0,0.8684,0.73813291,prd
Sorex ugyunak,0.0,0.0,33.293800000000005,6.298279245,prd
Aplodontia rufa,0.0,0.0,12.460250000000002,4.5121711625000005,prd
Lasiurus borealis,0.0,0.0,0.82555,0.7069867075,prd
Glaucomys volans,0.0,0.0,9.45375,3.5961583525,prd
Glaucomys sabrinus,0.0,0.0,9.459299999999999,3.568956105,prd
Pipistrellus subflavus,0.0,0.0,0.7704,0.66664027,prd
Lasiurus cinereus,0.0,0.0,0.7505,0.651249735,prd
Sylvilagus nuttallii,0.0,0.0,13.2005,4.56792615,prd
Callospermophilus saturatus,0.0,0.0,13.476350000000002,3.1635011075,prd
Callospermophilus lateralis,0.0,0.0,13.543800000000001,3.1805479549999998,prd
Euderma maculatum,0.0,0.0,0.37029999999999996,0.32219821000000004,prd
Nyctinomops macrotis,0.0,0.0,0.0836,0.07661103999999999,prd
Tamiasciurus hudsonicus,0.0,0.0,15.259549999999999,3.8736601225,prd
Marmota broweri,0.0,0.0,14.88965,4.4353199925,prd
Parascalops breweri,0.0,0.0,14.68895,4.724963452499999,prd
Lasiurus blossevillii,0.0,0.0,0.23335,0.2057553275,prd
Scapanus orarius,0.0,0.0,13.745449999999998,4.205694697499999,prd
Alces alces,0.0,0.0,6.604399999999999,1.1741313249999998,prd
Tamias striatus,0.0,0.0,10.875799999999998,2.6797549050000002,prd
Myotis californicus,0.0,0.0,0.27659999999999996,0.23833469999999998,prd
Myotis melanorhinus,0.0,0.0,0.28645,0.24542264749999998,prd
Tamias minimus,0.0,0.0,9.6563,2.3902023750000003,prd
Myotis evotis,0.0,0.0,0.2721,0.23502877500000002,prd
Microtus ochrogaster,0.0,0.0,33.52785,5.2366325475,prd
Eptesicus fuscus,0.0,0.0,0.12405,0.1086615975,prd
Myotis leibii,0.0,0.0,0.264,0.22891219499999998,prd
Myotis keenii,0.0,0.0,0.25755,0.22416454750000003,prd
Lemmiscus curtatus,0.0,0.0,33.51805,5.218120697500001,prd
Sylvilagus floridanus,0.0,0.0,11.0936,2.2900738049999996,prd
Urocitellus richardsonii,0.0,0.0,17.931099999999997,4.553082585,prd
Sciurus niger,0.0,0.0,14.709000000000001,3.179359445,prd
Urocitellus columbianus,0.0,0.0,17.947450000000007,4.5505146725,prd
Synaptomys cooperi,0.0,0.0,35.768199999999986,4.678527020000001,prd
Marmota caligata,0.0,0.0,14.585600000000003,4.215149745,prd
Antilocapra americana,0.0,0.0,7.33185,2.2764299924999998,prd
Marmota monax,0.0,0.0,13.50135,3.7270395575,prd
Myotis lucifugus,0.0,0.0,0.24135,0.2115896275,prd
Scapanus townsendii,0.0,0.0,10.144750000000002,1.8701275824999999,prd
Bison bison,0.0,0.0,5.9047,1.41568566,prd
Tamiasciurus douglasii,0.0,0.0,14.484650000000002,2.9319307025,prd
Microtus chrotorrhinus,0.0,0.0,33.37255,5.0503612525,prd
Myotis thysanodes,0.0,0.0,0.2495,0.21797443,prd
Dama dama,0.0,0.0,5.591199999999999,1.6109597500000001,prd
Microtus xanthognathus,0.0,0.0,34.4687,5.105568005,prd
Lepus europaeus,0.0,0.0,12.78675,2.2021760175,prd
Urocitellus parryii,0.0,0.0,17.92245,4.4412585125,prd
Mus musculus,0.0,0.0,33.5763,4.7062496750000005,prd
Rangifer tarandus,0.0,0.0,9.1479,1.85037055,prd
Sorex haydeni,0.0,0.0,34.85465000000001,5.6228338925,prd
Sylvilagus transitionalis,0.0,0.0,11.475499999999998,2.199325145,prd
Myotis volans,0.0,0.0,0.21925,0.19414518749999998,prd
Scalopus aquaticus,0.0,0.0,8.811450000000002,0.8256816525000001,prd
Marmota flaviventris,0.0,0.0,13.06355,3.3469585525,prd
Microtus pennsylvanicus,0.0,0.0,31.976200000000002,4.437359235,prd
Ovis dalli,0.0,0.0,6.60545,1.5659321375,prd
Synaptomys borealis,0.0,0.0,35.8765,4.595267125,prd
Ochotona princeps,0.0,0.0,14.623750000000001,2.1893714875,prd
Lasionycteris noctivagans,0.0,0.0,1.1049,0.09389599,prd
Sorex arcticus,0.0,0.0,35.7527,6.443331445,prd
Sciurus carolinensis,0.0,0.0,10.18025,1.4688777275,prd
Myotis yumanensis,0.0,0.0,0.1249,0.10929999,prd
Ictidomys tridecemlineatus,0.0,0.0,9.681700000000001,1.5867464249999998,prd
Myotis ciliolabrum,0.0,0.0,0.12645,0.11046039750000002,prd
Ochotona collaris,0.0,0.0,13.732800000000001,2.0642936549999997,prd
Dicrostonyx nunatakensis,0.0,0.0,28.287599999999998,3.7712559199999998,prd
Oreamnos americanus,0.0,0.0,6.68095,0.8059551575,prd
Castor canadensis,0.0,0.0,26.039949999999997,5.782213242499999,prd
Cynomys ludovicianus,0.0,0.0,8.6393,1.00785993,prd
Dicrostonyx groenlandicus,0.0,0.0,27.623499999999996,3.66696955,prd
Dicrostonyx hudsonius,0.0,0.0,29.09385000000001,3.9176735574999997,prd
Dicrostonyx richardsoni,0.0,0.0,28.25025000000001,3.7095489175000003,prd
Lemmus trimucronatus,0.0,0.0,35.84315,4.4848285025,prd
Lepus americanus,0.0,0.0,17.714700000000004,2.4599988049999997,prd
Lepus arcticus,0.0,0.0,15.456150000000001,2.1908823425,prd
Lepus townsendii,0.0,0.0,13.5106,1.4271584700000002,prd
Marmota vancouverensis,0.0,0.0,14.0028,3.3179405650000002,prd
Microtus longicaudus,0.0,0.0,34.7387,4.391143424999999,prd
Microtus miurus,0.0,0.0,35.8545,4.478736919999999,prd
Microtus montanus,0.0,0.0,32.010450000000006,4.3952127175,prd
Microtus oeconomus,0.0,0.0,37.1368,4.899324145,prd
Microtus oregoni,0.0,0.0,31.45055,4.6693625375,prd
Microtus pinetorum,0.0,0.0,34.170100000000005,4.3176142,prd
Microtus richardsoni,0.0,0.0,34.018,4.278765910000001,prd
Microtus townsendii,0.0,0.0,38.8964,5.428880175,prd
Myodes gapperi,0.0,0.0,31.390649999999994,4.6035327375,prd
Myodes rutilus,0.0,0.0,31.8065,4.538311545,prd
Napaeozapus insignis,0.0,0.0,10.214599999999999,1.18563898,prd
Odocoileus virginianus,0.0,0.0,10.195549999999999,1.7572989875,prd
Ondatra zibethicus,0.0,0.0,36.736399999999996,4.918125055,prd
Phenacomys intermedius,0.0,0.0,33.226,4.104113395,prd
Phenacomys ungava,0.0,0.0,33.2123,4.10192945,prd
Poliocitellus franklinii,0.0,0.0,9.52245,1.2528246175,prd
Sorex hoyi,0.0,0.0,33.80095,5.485417357499999,prd
Sorex maritimensis,0.0,0.0,36.39359999999999,8.453073335,prd
Sorex merriami,0.0,0.0,35.69155000000001,5.3946118025,prd
Sorex trowbridgii,0.0,0.0,34.29319999999999,6.150799624999999,prd
Sorex tundrensis,0.0,0.0,35.5107,5.37607546,prd
Tamias amoenus,0.0,0.0,24.714349999999996,1.8222453825000002,prd
Tamias townsendii,0.0,0.0,24.123099999999997,3.8055458699999996,prd
Zapus hudsonius,0.0,0.0,9.3592,0.315166135,prd
Zapus princeps,0.0,0.0,15.4453,1.7955557800000002,prd
Zapus trinotatus,0.0,0.0,15.03885,1.5781877775000002,prd
Cervus elaphus,0.0,0.0,6.9492,0.83223036,prd
Dama mesopotamica,0.0,0.0,6.198200000000001,1.018444745,prd
Odocoileus hemionus,0.0,0.0,8.52335,1.8629839725,prd
Ovibos moschatus,0.0,0.0,5.5673,0.4942286,prd
