code,gbifname,gbifid,equal
Conilurus_albipes,Conilurus albipes,2437960,true
Gerbillus_poecilops,Gerbillus poecilops,2437792,true
Anomalurus_pusillus,Anomalurus pusillus,5219880,true
Dasycercus_blythi,Dasycercus blythi,4826905,true
Pipistrellus_maderensis,Pipistrellus maderensis,5218476,true
Molossus_pretiosus,Molossus pretiosus,5218724,true
Dasypus_pilosus,Dasypus pilosus,2440777,true
Halmaheramys_bokimekot,Halmaheramys bokimekot,7703233,true
Nyctinomops_macrotis,Nyctinomops macrotis,2433062,true
Cercopithecus_petaurista,Cercopithecus petaurista,5219579,true
Loris_lydekkerianus,Loris lydekkerianus,7262073,true
Nasuella_meridensis,Nasuella meridensis,10738336,true
Cheirogaleus_medius,Cheirogaleus medius,2436451,true
Chimarrogale_sumatrana,Chimarrogale sumatrana,2435775,true
Geomys_attwateri,Geomys attwateri,2439371,true
Oxymycterus_paramensis,Oxymycterus paramensis,2438937,true
Lepilemur_sahamalazensis,Lepilemur sahamalaza,9655824,false
Lestoros_inca,Lestoros inca,2433374,true
Tadarida_kuboriensis,Tadarida kuboriensis,4266601,true
Urocitellus_washingtoni,Urocitellus washingtoni,8055765,true
Phaner_electromontis,Phaner electromontis,4266967,true
Lemniscomys_barbarus,Lemniscomys barbarus,2438207,true
Meriones_chengi,Meriones chengi,5219712,true
Chiromyscus_chiropus,Chiromyscus chiropus,2438462,true
Prionomys_batesi,Prionomys batesi,2439286,true
Cephalophus_zebra,Cephalophus zebra,2441164,true
Scotomanes_ornatus,Scotomanes ornatus,2432278,true
Spermophilus_pygmaeus,Spermophilus pygmaeus,2437322,true
Dryadonycteris_capixaba,Dryadonycteris capixaba,7470738,true
Lemmiscus_curtatus,Lemmiscus curtatus,2438225,true
Cephalorhynchus_hectori,Cephalorhynchus hectori,5220033,true
Indopacetus_pacificus,Indopacetus pacificus,2440391,true
Cystophora_cristata,Cystophora cristata,5219378,true
Natalus_mexicanus,Natalus mexicanus,5787406,true
Saccopteryx_gymnura,Saccopteryx gymnura,5218732,true
Neodon_irene,Neodon irene,5706755,true
Callicebus_miltoni,Plecturocebus miltoni,9481435,false
Leontocebus_nigricollis,Leontocebus nigricollis,8628111,true
Heliosciurus_ruwenzorii,Heliosciurus ruwenzorii,2437543,true
Gerbillus_mackillingini,Dipodillus mackilligini,4264987,false
Equus_zebra,Equus zebra,2440888,true
Elaphurus_davidianus,Elaphurus davidianus,2440938,true
Eonycteris_robusta,Eonycteris robusta,4265634,true
Parascaptor_leucura,Parascaptor leucura,2436115,true
Callibella_humilis,Mico humilis,5786452,false
Eliurus_tanala,Eliurus tanala,2438526,true
Cryptotis_orophila,Cryptotis orophila,5219493,true
Paraxerus_vincenti,Paraxerus vincenti,2437348,true
Lonchophylla_orcesi,Lonchophylla orcesi,5787392,true
Conepatus_leuconotus,Conepatus leuconotus,2434878,true
Rhipidomys_caucensis,Rhipidomys caucensis,5219817,true
Isoodon_obesulus,Isoodon obesulus,2435311,true
Talpa_occidentalis,Talpa occidentalis,2436152,true
Orycteropus_afer,Orycteropus afer,5218416,true
Melomys_aerosus,Melomys aerosus,2438992,true
Pseudomys_albocinereus,Pseudomys albocinereus,5219807,true
Crocidura_niobe,Crocidura niobe,2435626,true
Chaetodipus_artus,Chaetodipus artus,2439599,true
Dicrostonyx_torquatus,Dicrostonyx torquatus,2438384,true
Isoodon_macrourus,Isoodon macrourus,2435304,true
Ommatophoca_rossii,Ommatophoca rossii,2434788,true
Crocidura_luna,Crocidura luna,2435572,true
Lagorchestes_asomatus,Lagorchestes asomatus,2440158,true
Aonyx_cinerea,Amblonyx cinereus,5218899,false
Tursiops_australis,Tursiops australis,5846985,true
Neotoma_albigula,Neotoma albigula,2438454,true
Lonchorhina_orinocensis,Lonchorhina orinocensis,2433214,true
Euoticus_pallidus,Euoticus pallidus,2436513,true
Nasuella_olivacea,Nasuella olivacea,2433588,true
Talpa_caeca,Talpa caeca,8347063,true
Martes_zibellina,Martes zibellina,5218826,true
Bison_bison,Bison bison,2441176,true
Urocitellus_elegans,Urocitellus elegans,7404826,true
Rattus_pelurus,Rattus pelurus,2439238,true
Liomys_salvini,Liomys salvini,2439506,true
Calomyscus_tsolovi,Calomyscus tsolovi,2439356,true
Mammuthus_primigenius,Mammuthus primigenius,4825833,true
Pseudochirops_albertisii,Pseudochirops albertisii,2440078,true
Glauconycteris_humeralis,Glauconycteris humeralis,4266159,true
Vulpes_bengalensis,Vulpes bengalensis,5219308,true
Megadontomys_nelsoni,Megadontomys nelsoni,2438697,true
Ctenomys_osvaldoreigi,Ctenomys osvaldoreigi,4263386,true
Murina_loreliae,Murina lorelieae,7709587,false
Lepilemur_otto,Lepilemur otto,5786421,true
Macropus_agilis,Macropus agilis,5219975,true
Petaurista_caniceps,Petaurista caniceps,5786617,true
Gracilinanus_marica,Gracilinanus marica,2439859,true
Mus_setzeri,Mus setzeri,2438803,true
Gerbillus_pyramidum,Gerbillus pyramidum,2437811,true
Myotis_flavus,Myotis flavus,7363050,true
Pipistrellus_kitcheneri,Hypsugo kitcheneri,4266297,false
Sorex_minutus,Sorex minutus,7571319,true
Crocidura_buettikoferi,Crocidura buettikoferi,2435607,true
Pteropus_aldabrensis,Pteropus aldabrensis,5218647,true
Crocidura_denti,Crocidura denti,2435631,true
Microtus_guentheri,Microtus guentheri,2438628,true
Mormopterus_jugularis,Mormopterus jugularis,2433059,true
Fukomys_mechowi,Fukomys mechowii,10828475,false
Talpa_caucasica,Talpa caucasica,2436136,true
Myotis_bombinus,Myotis bombinus,2432462,true
Tylomys_tumbalensis,Tylomys tumbalensis,2438538,true
Dromiciops_gliroides,Dromiciops gliroides,2433393,true
Blarinella_wardi,Blarinella wardi,2435763,true
Myodes_regulus,Myodes regulus,5706761,true
Myotis_melanorhinus,Myotis melanorhinus,4266342,true
Ctenomys_opimus,Ctenomys opimus,2439640,true
Pteropus_intermedius,Pteropus intermedius,5707057,true
Hydrochoerus_isthmius,Hydrochoerus isthmius,5786667,true
Mesoplodon_europaeus,Mesoplodon europaeus,2440397,true
Leptonycteris_curasoae,Leptonycteris curasoae,2433316,true
Petrogale_purpureicollis,Petrogale purpureicollis,2440126,true
Scotophilus_andrewreborii,Scotophilus andrewreborii,8336838,true
Microcebus_simmonsi,Microcebus simmonsi,5786016,true
Macropus_fuliginosus,Macropus fuliginosus,5219965,true
Neoromicia_flavescens,Neoromicia flavescens,4265926,true
Diplogale_hosei,Diplogale hosei,2434672,true
Thomomys_bulbivorus,Thomomys bulbivorus,2439390,true
Eliomys_melanurus,Eliomys melanurus,2439684,true
Procapra_gutturosa,Procapra gutturosa,2441147,true
Pseudomys_johnsoni,Pseudomys johnsoni,5219789,true
Perognathus_fasciatus,Perognathus fasciatus,2439561,true
Alces_alces,Alces alces,2440940,true
Graphiurus_ocularis,Graphiurus ocularis,5219907,true
Hipposideros_corynophyllus,Doryrhina corynophyllus,10895166,false
Chiropodomys_pusillus,Chiropodomys pusillus,2438397,true
Miniopterus_manavi,Miniopterus manavi,4266178,true
Aotus_zonalis,Aotus zonalis,5786070,true
Chaetodipus_arenarius,Chaetodipus arenarius,2439598,true
Eulemur_flavifrons,Eulemur flavifrons,7874997,true
Pseudomys_hermannsburgensis,Pseudomys hermannsburgensis,5219796,true
Mormopterus_planiceps,Mormopterus planiceps,2433057,true
Abrocoma_famatina,Abrocoma famatina,4264782,true
Nyctimene_certans,Nyctimene certans,5218632,true
Blarina_brevicauda,Blarina brevicauda,2435862,true
Alcelaphus_buselaphus,Alcelaphus buselaphus,5220185,true
Neotoma_palatina,Neotoma palatina,2438453,true
Babyrousa_togeanensis,Babyrousa togeanensis,4262911,true
Rhipidomys_couesi,Rhipidomys couesi,5219823,true
Varecia_rubra,Varecia rubra,4266945,true
Sorex_satunini,Sorex satunini,2436072,true
Peromyscus_mekisturus,Peromyscus mekisturus,2438030,true
Rhinolophus_coelophyllus,Rhinolophus coelophyllus,2432647,true
Carollia_subrufa,Carollia subrufa,2433175,true
Stenoderma_rufum,Stenoderma rufum,5218755,true
Chiroderma_villosum,Chiroderma villosum,2433165,true
Thamnomys_kempi,Thamnomys kempi,2438823,true
Chaerephon_aloysiisabaudiae,Chaerephon aloysiisabaudiae,5218717,true
Procolobus_preussi,Piliocolobus preussi,4267000,false
Mus_haussa,Mus haussa,2438781,true
Crocidura_sibirica,Crocidura sibirica,2435609,true
Monodelphis_iheringi,Monodelphis iheringi,2439960,true
Murina_walstoni,Murina walstoni,7364354,true
Leopoldamys_sabanus,Leopoldamys sabanus,2437926,true
Hipposideros_abae,Hipposideros abae,5218580,true
Toromys_rhipidurus,Makalata rhipidura,4262961,false
Rhinolophus_keyensis,Rhinolophus keyensis,2432638,true
Akodon_dayi,Akodon dayi,2437899,true
Muntiacus_crinifrons,Muntiacus crinifrons,2440945,true
Tarsius_pelengensis,Tarsius pelengensis,4266951,true
Molossops_aequatorianus,Molossops aequatorianus,2433005,true
Capricornis_sumatraensis,Capricornis sumatraensis,4262616,true
Dasymys_foxi,Dasymys foxi,2438417,true
Oryctolagus_cuniculus,Oryctolagus cuniculus,2436940,true
Miniopterus_majori,Miniopterus majori,4266189,true
Abrocoma_bennettii,Abrocoma bennettii,2439416,true
Mops_niveiventer,Mops niveiventer,2433073,true
Cephalophus_jentinki,Cephalophus jentinki,2441159,true
Chaerephon_major,Chaerephon major,5218720,true
Paranyctimene_raptor,Paranyctimene raptor,2432976,true
Paramelomys_steini,Paramelomys steini,4264867,true
Dasypus_novemcinctus,Dasypus novemcinctus,2440779,true
Mico_chrysoleucus,Mico chrysoleucos,7905120,false
Callosciurus_adamsi,Callosciurus adamsi,2437403,true
Funisciurus_bayonii,Funisciurus bayonii,2437419,true
Mustela_nivalis,Mustela nivalis,5218987,true
Eudorcas_rufifrons,Eudorcas rufifrons,7261425,true
Graphiurus_nagtglasii,Graphiurus nagtglasii,5706489,true
Paratriaenops_pauliani,Paratriaenops pauliani,7759860,true
Triaenops_parvus,Triaenops parvus,7961606,true
Atilax_paludinosus,Atilax paludinosus,2434188,true
Nycticeius_cubanus,Nycticeius cubanus,4266475,true
Sciurus_alleni,Sciurus alleni,5219679,true
Apodemus_alpicola,Apodemus alpicola,2437769,true
Maxomys_panglima,Maxomys panglima,2438843,true
Gerbillus_aquilus,Gerbillus aquilus,2437837,true
Graphiurus_monardi,Graphiurus monardi,5219906,true
Neohylomys_hainanensis,Neohylomys hainanensis,2437121,true
Limnogale_mergulus,Limnogale mergulus,2432145,true
Crocidura_manengubae,Crocidura manengubae,2435706,true
Perognathus_amplus,Perognathus amplus,2439553,true
Martes_foina,Martes foina,5218887,true
Mops_sarasinorum,Mops sarasinorum,2433068,true
Peropteryx_pallidoptera,Peropteryx pallidoptera,9078143,true
Trinomys_yonenagae,Trinomys yonenagae,4262956,true
Myotis_stalkeri,Myotis stalkeri,2432423,true
Callosciurus_quinquestriatus,Callosciurus quinquestriatus,2437407,true
Sturnira_bakeri,Sturnira bakeri,8044430,true
Antechinus_adustus,Antechinus adustus,2435374,true
Pipistrellus_angulatus,Pipistrellus angulatus,7261838,true
Hipposideros_durgadasi,Hipposideros durgadasi,5706909,true
Dendromus_insignis,Dendromus insignis,5219772,true
Melanomys_zunigae,Melanomys zunigae,5219851,true
Tamandua_mexicana,Tamandua mexicana,2436335,true
Taphozous_australis,Taphozous australis,5218739,true
Galagoides_zanzibaricus,Paragalago zanzibaricus,9246350,false
Balantiopteryx_plicata,Balantiopteryx plicata,2433132,true
Praomys_jacksoni,Praomys jacksoni,2438475,true
Suncus_murinus,Suncus murinus,2435520,true
Pipistrellus_savii,Hypsugo savii,7261861,false
Eptesicus_brasiliensis,Eptesicus brasiliensis,2432368,true
Apomys_camiguinensis,Apomys camiguinensis,5786720,true
Rattus_hainaldi,Rattus hainaldi,2439272,true
Neodon_linzhiensis,Neodon linzhiensis,7722996,true
Spilogale_gracilis,Spilogale gracilis,2434835,true
Solisorex_pearsoni,Solisorex pearsoni,2435527,true
Platyrrhinus_brachycephalus,Platyrrhinus brachycephalus,5218766,true
Macrotis_leucura,Macrotis leucura,5219459,true
Moschus_fuscus,Moschus fuscus,2440990,true
Gerbillus_occiduus,Gerbillus occiduus,2437828,true
Eptesicus_bottae,Eptesicus bottae,2432346,true
Barbastella_beijingensis,Barbastella beijingensis,7725730,true
Sorex_leucogaster,Sorex leucogaster,2435952,true
Ateles_hybridus,Ateles hybridus,4267251,true
Condylura_cristata,Condylura cristata,2436248,true
Bullimus_luzonicus,Bullimus luzonicus,2437853,true
Neotoma_micropus,Neotoma micropus,2438439,true
Microperoryctes_murina,Microperoryctes murina,2435339,true
Axis_porcinus,Axis porcinus,5220128,true
Laonastes_aenigmamus,Laonastes aenigmamus,2437592,true
Viverricula_indica,Viverricula indica,2434600,true
Melomys_caurinus,Melomys caurinus,4264962,true
Myotis_dinellii,Myotis dinellii,5787576,true
Thyroptera_tricolor,Thyroptera tricolor,2432773,true
Acomys_spinosissimus,Acomys spinosissimus,2438266,true
Crocidura_pullata,Crocidura pullata,2435761,true
Sus_philippensis,Sus philippensis,2441214,true
Hylopetes_bartelsi,Hylopetes bartelsi,2437533,true
Caryomys_eva,Caryomys eva,4265055,true
Hapalemur_alaotrensis,Hapalemur alaotrensis,4266941,true
Lepilemur_hollandorum,Lepilemur hollandorum,7807468,true
Trinomys_albispinus,Trinomys albispinus,8909441,true
Cervus_elaphus,Cervus elaphus,2440958,true
Nycticeius_aenobarbus,Nycticeius aenobarbus,4266477,true
Hipposideros_speoris,Hipposideros speoris,5218559,true
Hylaeamys_tatei,Hylaeamys tatei,5786894,true
Marmosa_tyleriana,Marmosa tyleriana,2439861,true
Genetta_maculata,Genetta maculata,5219355,true
Oecomys_paricola,Oecomys paricola,2439313,true
Trichosurus_vulpecula,Trichosurus vulpecula,2440254,true
Emballonura_monticola,Emballonura monticola,2433130,true
Petrogale_assimilis,Petrogale assimilis,2440127,true
Callosciurus_nigrovittatus,Callosciurus nigrovittatus,2437400,true
Cryptotis_tamensis,Cryptotis tamensis,5219476,true
Otomys_karoensis,Otomys saundersiae,5219874,false
Rhinopoma_hadramauticum,Rhinopoma hadramauticum,7530561,true
Pogonomelomys_bruijnii,Pogonomelomys bruijni,2438693,false
Neoromicia_zuluensis,Neoromicia zuluensis,4265935,true
Niviventer_hinpoon,Niviventer hinpoon,2439055,true
Aethomys_kaiseri,Aethomys kaiseri,2438175,true
Myotis_fortidens,Myotis fortidens,2432421,true
Otonycteris_hemprichii,Otonycteris hemprichii,2432382,true
Meriones_libycus,Meriones libycus,5219725,true
Moschiola_indica,Moschiola indica,5787125,true
Dicrostonyx_nelsoni,Dicrostonyx nelsoni,2438390,true
Tamias_panamintinus,Tamias panamintinus,2437425,true
Monodelphis_americana,Monodelphis americana,2439970,true
Cryptotis_hondurensis,Cryptotis hondurensis,5219492,true
Pogonomelomys_mayeri,Pogonomelomys mayeri,2438692,true
Saguinus_martinsi,Saguinus martinsi,7261987,true
Glossophaga_morenoi,Glossophaga morenoi,2433196,true
Onychogalea_lunata,Onychogalea lunata,2440153,true
Cercopithecus_campbelli,Cercopithecus campbelli,5219582,true
Eozapus_setchuanus,Eozapus setchuanus,2439431,true
Muriculus_imberbis,Muriculus imberbis,2438063,true
Sorex_stizodon,Sorex stizodon,2436087,true
Tamias_quadrimaculatus,Tamias quadrimaculatus,2437446,true
Eothenomys_olitor,Eothenomys olitor,2438890,true
Lagostrophus_fasciatus,Lagostrophus fasciatus,2440134,true
Petromyscus_shortridgei,Petromyscus shortridgei,2437718,true
Pseudochirulus_mayeri,Pseudochirulus mayeri,2440084,true
Oligoryzomys_vegetus,Oligoryzomys vegetus,2438278,true
Rattus_everetti,Rattus everetti,2439268,true
Macaca_radiata,Macaca radiata,2436612,true
Phyllomys_mantiqueirensis,Phyllomys mantiqueirensis,4262926,true
Cercopithecus_pogonias,Cercopithecus pogonias,5219574,true
Crocidura_nimbae,Crocidura nimbae,2435643,true
Drymoreomys_albimaculatus,Drymoreomys albimaculatus,10796151,true
Blarina_carolinensis,Blarina carolinensis,2435875,true
Sphaeronycteris_toxophyllum,Sphaeronycteris toxophyllum,2433302,true
Nyctinomops_laticaudatus,Nyctinomops laticaudatus,2433063,true
Lophuromys_rahmi,Lophuromys rahmi,2437669,true
Crocidura_nigrofusca,Crocidura nigrofusca,2435680,true
Oecomys_superans,Oecomys superans,2439319,true
