

ID	SPPname

B1	Gavia_stellata

B10	Fulmarus_glacialis

B100	Accipiter_brevipes

B101	Accipiter_nisus

B102	Accipiter_gentilis

B103	Buteo_buteo

B104	Buteo_rufinus

B105	Buteo_lagopus

B106	Aquila_pomarina

B107	Aquila_clanga

B108	Aquila_nipalensis

B109	Aquila_adalberti

B11	Pterodroma_deserta

B110	Aquila_heliaca

B111	Aquila_chrysaetos

B112	Hieraaetus_fasciatus

B113	Hieraaetus_pennatus

B114	Falco_naumanni

B115	Falco_tinnunculus

B116	Falco_vespertinus

B117	Falco_eleonorae

B118	Falco_columbarius

B119	Falco_subbuteo

B12	Pterodroma_madeira

B120	Falco_biarmicus

B121	Falco_cherrug

B122	Falco_rusticolus

B123	Falco_peregrinus

B124	Lagopus_lagopus

B125	Lagopus_muta

B126	Tetrao_urogallus

B127	Tetrao_tetrix

B128	Tetrao_mlokosiewiczi

B129	Bonasa_bonasia

B13	Bulweria_bulwerii

B130	Tetraogallus_caucasicus

B131	Tetraogallus_caspius

B132	Alectoris_graeca

B133	Alectoris_chukar

B134	Alectoris_barbara

B135	Alectoris_rufa

B136	Ammoperdix_griseogularis

B137	Francolinus_francolinus

B138	Perdix_perdix

B139	Coturnix_coturnix

B14	Calonectris_diomedea

B140	Phasianus_colchicus

B141	Turnix_sylvatica

B142	Anthropoides_virgo

B143	Grus_grus

B144	Rallus_aquaticus

B145	Crex_crex

B146	Porzana_parva

B147	Porzana_pusilla

B148	Porzana_porzana

B149	Porphyrio_porphyrio

B15	Puffinus_puffinus

B150	Gallinula_chloropus

B151	Fulica_cristata

B152	Fulica_atra

B153	Otis_tarda

B154	Tetrax_tetrax

B155	Haematopus_ostralegus

B156	Himantopus_himantopus

B157	Recurvirostra_avosetta

B158	Burhinus_oedicnemus

B159	Glareola_pratincola

B16	Puffinus_yelkouan

B160	Glareola_nordmanni

B161	Vanellus_vanellus

B162	Hoplopterus_spinosus

B163	Hoplopterus_indicus

B164	Chettusia_gregaria

B165	Chettusia_leucura

B166	Pluvialis_apricaria

B167	Pluvialis_squatarola

B168	Charadrius_hiaticula

B169	Charadrius_dubius

B17	Puffinus_mauretanicus

B170	Charadrius_alexandrinus

B171	Charadrius_leschenaultii

B172	Charadrius_asiaticus

B173	Charadrius_morinellus

B174	Scolopax_rusticola

B175	Lymnocryptes_minimus

B176	Gallinago_stenura

B177	Gallinago_media

B178	Gallinago_gallinago

B179	Limosa_limosa

B18	Puffinus_assimilis

B180	Limosa_lapponica

B181	Numenius_phaeopus

B182	Numenius_arquata

B183	Tringa_erythropus

B184	Tringa_totanus

B185	Tringa_stagnatilis

B186	Tringa_nebularia

B187	Tringa_ochropus

B188	Tringa_glareola

B189	Xenus_cinereus

B19	Pelagodroma_marina

B190	Actitis_hypoleucos

B191	Arenaria_interpres

B192	Calidris_canutus

B193	Calidris_alba

B194	Calidris_minuta

B195	Calidris_temminckii

B196	Calidris_melanotos

B197	Calidris_alpina

B198	Calidris_maritima

B199	Limicola_falcinellus

B2	Gavia_arctica

B20	Hydrobates_pelagicus

B200	Philomachus_pugnax

B201	Phalaropus_lobatus

B202	Phalaropus_fulicarius

B203	Stercorarius_skua

B204	Stercorarius_pomarinus

B205	Stercorarius_parasiticus

B206	Stercorarius_longicaudus

B207	Larus_canus

B208	Larus_audouinii

B209	Larus_marinus

B21	Oceanodroma_leucorhoa

B210	Larus_hyperboreus

B211	Larus_glaucoides

B212	Larus_argentatus

B213	Larus_fuscus

B214	Larus_cachinnans

B215	Larus_armenicus

B216	Larus_ichthyaetus

B217	Larus_ridibundus

B218	Larus_genei

B219	Larus_melanocephalus

B22	Oceanodroma_castro

B220	Larus_minutus

B221	Pagophila_eburnea

B222	Larus_sabini

B223	Rissa_tridactyla

B224	Gelochelidon_nilotica

B225	Sterna_caspia

B226	Sterna_bengalensis

B227	Sterna_sandvicensis

B228	Sterna_dougallii

B229	Sterna_hirundo

B23	Phaethon_aethereus

B230	Sterna_paradisaea

B231	Sterna_albifrons

B232	Sterna_fuscata

B233	Chlidonias_hybrida

B234	Chlidonias_leucopterus

B235	Chlidonias_niger

B236	Alle_alle

B237	Uria_aalge

B238	Uria_lomvia

B239	Alca_torda

B24	Morus_bassanus

B240	Cepphus_grylle

B241	Fratercula_arctica

B242	Pterocles_alchata

B243	Pterocles_orientalis

B244	Columba_livia

B245	Columba_oenas

B246	Columba_palumbus

B247	Columba_trocaz

B248	Streptopelia_turtur

B249	Streptopelia_decaocto

B25	Phalacrocorax_carbo

B250	Streptopelia_senegalensis

B251	Clamator_glandarius

B252	Cuculus_canorus

B253	Cuculus_saturatus

B254	Tyto_alba

B255	Otus_brucei

B256	Otus_scops

B257	Bubo_bubo

B258	Nyctea_scandiaca

B259	Strix_aluco

B26	Phalacrocorax_aristotelis

B260	Strix_uralensis

B261	Strix_nebulosa

B262	Surnia_ulula

B263	Glaucidium_passerinum

B264	Athene_noctua

B265	Aegolius_funereus

B266	Asio_otus

B267	Asio_flammeus

B268	Caprimulgus_ruficollis

B269	Caprimulgus_europaeus

B27	Phalacrocorax_pygmaeus

B270	Apus_melba

B271	Apus_apus

B272	Apus_unicolor

B273	Apus_pallidus

B274	Apus_affinis

B275	Apus_caffer

B276	Alcedo_atthis

B277	Halcyon_smyrnensis

B278	Ceryle_rudis

B279	Merops_superciliosus

B28	Pelecanus_onocrotalus

B280	Merops_apiaster

B281	Coracias_garrulus

B282	Upupa_epops

B283	Jynx_torquilla

B284	Dendrocopos_minor

B285	Dendrocopos_medius

B286	Dendrocopos_leucotos

B287	Dendrocopos_major

B288	Dendrocopos_syriacus

B289	Picoides_tridactylus

B29	Pelecanus_crispus

B290	Dryocopus_martius

B291	Picus_viridis

B292	Picus_canus

B293	Ammomanes_deserti

B294	Melanocorypha_calandra

B295	Melanocorypha_bimaculata

B296	Melanocorypha_leucoptera

B297	Calandrella_brachydactyla

B298	Calandrella_rufescens

B299	Calandrella_cheleensis

B3	Gavia_immer

B30	Ardea_cinerea

B300	Chersophilus_duponti

B301	Galerida_cristata

B302	Lullula_arborea

B303	Alauda_arvensis

B304	Eremophila_alpestris

B305	Riparia_riparia

