Focal species,Food item,Category,Additional food item information,Method,Sample size,% frequency of occurrence,% of total volume,Estimated mean % prey composition,Mean % relative density,% total volume for season,% frequency of occurrence within samples containing bird remains,% of dry fecal weight,% of all fish identified,% contribution to fatty acid signatures,% of total stems utilized,% time spent on each food type,% of browse pile,Average fragments of chewed vegetation per colony,Location,Additional location information,Sampling period,Month,Season,Reference,
American beaver,Abies balsamea,Balsam fir,,Recorded plant utilization in area by transect,5, ,,,,,,,,,0.2,,,,"Grand Falls, Newfoundland",,1961-1963,,fall + summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Abies balsamea,Balsam fir,,Recorded plant utilization in area by transect,5, ,,,,,,,,,0.1,,,,"New World Island, Newfoundland",,1961-1963,,fall + summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Acer rubrum,deciduous shrubs/trees,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,1,"Avalon Peninsula, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Alnus crispa,deciduous shrubs/trees,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,4,"Avalon Peninsula, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Alnus rugosa,deciduous shrubs/trees,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,6,"Avalon Peninsula, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Betula papyrifera,deciduous shrubs/trees,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,1,"Avalon Peninsula, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Myrica gale,deciduous shrubs/trees,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,3,"Avalon Peninsula, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Populus tremuloides,deciduous shrubs/trees,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,0,"Avalon Peninsula, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Prunus pennsylvanica,deciduous shrubs/trees,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,1,"Avalon Peninsula, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Rhododendron canadense,deciduous shrubs/trees,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,3,"Avalon Peninsula, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Vaccinum angustifolium,deciduous shrubs/trees,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,6,"Avalon Peninsula, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Viburnum cassinoides,deciduous shrubs/trees,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,1,"Avalon Peninsula, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
