CommonName,ScientificName
American beaver,Castor canadensis
American black bear,Ursus americanus
American marten,Martes americana
Arctic hare,Lepus arcticus
Canadian lynx,Lynx canadensis
Caribou,Rangifer tarandus
Common muskrat,Ondatra zibethicus
Ermine,Mustela erminea
Little brown myotis,Myotis lucifugus
Meadow vole,Microtus pennsylvanicus
North American river otter,Lontra canadensis
Northern myotis,Myotis septentrionalis
Red fox,Vulpes vulpes
American mink,Neovison vison
American moose,Alces americanus
Arctic fox,Alopex lagopus
Bank vole,Myodes glareolus
American bison,Bison bison
Cinereus shrew,Sorex cinereus
Coyote,Canis latrans
North American deermouse,Peromyscus maniculatus
Eastern chipmunk,Tamias striatus
Hoary bat,Lasiurus cinereus
House mouse,Mus musculus
Brown rat,Rattus norvegicus
Polar bear,Ursus maritimus
Red squirrel,Tamiasciurus hudsonicus
Snowshoe hare,Lepus americanus
Southern red-backed vole,Myodes gapperi
