taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
4263600	Tamias striatus griseus Mearns, 1891	4263600	Tamias striatus griseus Mearns, 1891	31	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Sciuridae	9456	Tamias	2437422	Tamias striatus	2437438	
4830645	Toxotherium Wood, 1961	4830645	Toxotherium Wood, 1961	1	GENUS	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Perissodactyla	795	Rhinocerotidae	9415	Toxotherium	4830645			
4831431	Mesodma formosa (Marsh, 1889)	8953289	Halodon formosus (Marsh, 1889)	12	SPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359			Ptilodontidae	4831421	Mesodma	4831429	Halodon formosus	8953289	
6164268	Vulpes vulpes abietorum Merriam, 1900	6164268	Vulpes vulpes abietorum Merriam, 1900	210	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Canidae	9701	Vulpes	5219234	Vulpes vulpes	5219243	
8577889	Merychippus praecocidens (Russell, 1933)	9328552	Hippotherium isonesum (Cope, 1889)	1	SPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Perissodactyla	795	Equidae	5479	Acritohippus	4830456	Hippotherium isonesum	9328552	
8868023	Urocitellus parryii parryii	8868023	Urocitellus parryii parryii	56	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Sciuridae	9456	Urocitellus	4827933	Urocitellus parryii	8303143	
2433462	Eumetopias jubatus (Schreber, 1776)	2433462	Eumetopias jubatus (Schreber, 1776)	504	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Otariidae	5309	Eumetopias	2433461	Eumetopias jubatus	2433462	NT
4975153	Herpetotherium youngi (McGrew, 1937)	9535594	Peratherium youngi (McGrew, 1937)	1	SPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Didelphimorphia	783	Didelphidae	5455	Herpetotherium	4826731	Peratherium youngi	9535594	
6163993	Neovison vison evagor (Hall, 1932)	9080460	Mustela vison evagor Hall, 1932	39	SUBSPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Mustelidae	5307	Mustela	2433922	Mustela vison	5218823	
4263613	Tamias minimus oreocetes (Merriam, 1897)	4263613	Tamias minimus oreocetes (Merriam, 1897)	56	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Sciuridae	9456	Tamias	2437422	Tamias minimus	2437432	
