internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
13972,Mus musculus,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,MURIDAE,Mus,musculus,,,,,"Linnaeus, 1758",Includes <em>domesticus</em> as a subspecies (Wilson and Reeder 2005). All Philippine populations of <em>Mus</em> are now placed in the species <em>M. musculus</em> (subspecies <em>castaneus</em>) and the species is considered to be non-native (Marshall 1977).
70207409,Mustela nivalis,ANIMALIA,CHORDATA,CARNIVORA,MAMMALIA,MUSTELIDAE,Mustela,nivalis,,,,,"Linnaeus, 1766","The taxonomy of Least Weasel&#160;<em>Mustela&#160;</em><em>nivalis</em>&#160;was reviewed by Abramov and Baryshnikov (2000), who considered Egpytian&#160;Weasel <em>M.&#160;</em><em>subpamata</em>&#160;to be a distinct<em>&#160;</em>species, a treatment followed here.<em>&#160;</em>Tonkin Weasel&#160;<em>M. tonkinensis&#160;</em>and&#160;Sichuan&#160;Weasel&#160;<em>M. russelliana</em>,<em>&#160;</em>here treated as distinct species following Groves (2007), were included as part of <em>M. nivalis</em>&#160;by Abramov and Baryshnikov (2000) (and in previous versions of its Red List assessment). A weasel population found in Taiwan in the late 20th century and considered by its finders to be a new&#160;species allied to&#160;Stoat <em>M. erminea</em>&#160;is here considered, following Abramov (2006) to be part of&#160;<em>M. nivalis</em>."
23062,Vulpes vulpes,ANIMALIA,CHORDATA,CARNIVORA,MAMMALIA,CANIDAE,Vulpes,vulpes,,,,,"(Linnaeus, 1758)","A recent extensive global phylogeny of Red Foxes that included ~1,000 samples from across the species’ range found that Red Foxes originated in the Middle East, then radiated out, and that Red Foxes in North America are genetically distinct and probably merit recognition as a distinct species (<em>Vulpes fulva</em>) (Statham<em> et al. </em>2014)."
2468,Balaena mysticetus Bering-Chukchi-Beaufort Sea subpopulation,ANIMALIA,CHORDATA,CETARTIODACTYLA,MAMMALIA,BALAENIDAE,Balaena,mysticetus,,,,Bering-Chukchi-Beaufort Sea subpopulation,"Linnaeus, 1758","Bowhead Whales (<em>Balaena mysticetus</em>) in Bering-Chukchi-Beaufort Sea (BCB) region are recognized as a “stock” by the International Whaling Commission (IWC) and its Scientific Committee and are treated here as a subpopulation as per the IUCN Red List definition. There is no geographical overlap with either the Okhotsk Sea or the East Greenland–Svalbard–Barents Sea subpopulations, which are assessed separately. Bockstoce and Burns (1993) suggested some movement of Bowheads between the BCB area and the eastern Canadian Arctic based on two whaling irons found in whales taken in the Chukchi Sea that apparently came from ships that only hunted in the northwestern Atlantic. However, according to Givens <em>et al</em>. (2010) “the degree of genetic mixing has been extremely small” between these two regions. Based on mtDNA and single nucleotide polymorphisms, Baird <em>et al</em>. (2018) found clear genetic differentiation between BCB and Okhotsk Sea Bowheads, and less clear, but statistically significant, differentiation between BCB Bowheads and those Bowheads sampled in the eastern Canadian Arctic. Interchange between the BCB subpopulation and Bowhead Whales in the eastern Canadian Arctic and West Greenland waters may become more common as sea ice cover diminishes (Heide-Jørgensen <em>et al.</em> 2012)."
29674,Mustela erminea,ANIMALIA,CHORDATA,CARNIVORA,MAMMALIA,MUSTELIDAE,Mustela,erminea,,,,,"Linnaeus, 1758",
3746,Canis lupus,ANIMALIA,CHORDATA,CARNIVORA,MAMMALIA,CANIDAE,Canis,lupus,,,,,"Linnaeus, 1758","In Europe, two subspecies are recognized:<em> C. l. signatus</em> (Iberia) and <em>C. l. italicus</em> (Italy, France and Switzerland).<br/><br/>In Asia, two subspecies are recognized:<em> C. l. pallipes</em> (most of the Asian range from Israel to China) and <em>C. l. arabs</em> (Arabian peninsula). Furthermore, wolves of the Himalayan range have been proposed as a distinct subspecies (<em>C. l. chanco</em>).<br/><br/>In North America, five subspecies are often recognized: <em>C. l. arctos</em> (Arctic wolf),<em> C. l. lycaon</em> (Eastern wolf), which Chambers <em>et al.</em> (2012) consider a distinct species, <em>C. l. nubilus</em> (Plains wolf), <em>C. l. occidentalis </em>(Northwestern wolf or Northern timber wolf), and <em>C. l. baileyi</em> (Mexican wolf).<br/><br/>Note that this assessment follows Jackson<em> et al.</em> (2017) in regarding the Dingo, sometimes considered a subspecies of Grey Wolf (<em>C. l. dingo</em>), as a feral dog population derived from a domesticate, and hence as <em>C. familiaris</em>, along with all other free-ranging dogs."
41280,Lepus europaeus,ANIMALIA,CHORDATA,LAGOMORPHA,MAMMALIA,LEPORIDAE,Lepus,europaeus,,,,,"Pallas, 1778","The taxonomy of <em>Lepus europaeus </em>is still under debate. Clear distinction to other taxa is difficult due to sympatric occurrences with other <em>Lepus</em> species. The European Hare was formerly included in the Cape Hare (<em>L. capensis</em>) based on a cline in morphological characters (mainly size) from north-eastern Africa eastwards across the northern Arabian peninsula, the Middle East and northwards through Israel to Turkey (Petter 1961). A reanalysis showed a discontinuity between smaller “<em>capensis</em>” and larger “<em>europaeus</em>” running from the eastern Mediterranean coast through Iran (Ben Slimen <em>et al.</em> 2008). A study of the nuclear gene pool of the Cape Hare, the European Hare and the North African Hare, indicated that the North African Hare as well as the European Hare belong to the Cape Hare (Ben Slimen <em>et al.</em> 2005). However, a study of the mt DNA of these three groups indicated a significant degree of divergence supporting species specific designation (Ben Slimen <em>et al.</em> 2008a, 2008b). These studies show that genetic differentiation between the Cape Hare and the European Hare might be attributed to geographic distance rather than divergence. Until conclusive evidence of a single species complex is available in order to support a change in the taxonomic status of the European Hare, it remains a true species (Hackländer and Schai-Braun 2018, Schai-Braun and Hackländer 2016).<br/> <br/> There are 16 subspecies: <em>Lepus europaeus caspicus, L. e. connori, L. e. creticus, L. e. cyprius, L. e. cyrensis, L. e. europaeus, L. e. hybridus, L. e. judeae, L. e. karpathorum, L. e. medius, L. e. occidentalis, L. e. parnassius, L. e. ponticus, L. e. rhodius, L. e. syriacus</em>, and <em>L. e. transsylvanicus</em> (Hoffmann and Smith 2005). It is felt that there is considerable variability in many of these forms and that distinctions between subspecies may be arbitrary as they are mostly based on size and colour. Molecular phylogenetic studies in Spain revealed that the Cantabric population has singular mt DNA compared to other European populations (Palacios <em>et al.</em> 2004). A review of the taxonomy of this species is necessary (Hackländer and Schai-Braun 2018, Schai-Braun and Hackländer 2016)."
41688,Ursus arctos,ANIMALIA,CHORDATA,CARNIVORA,MAMMALIA,URSIDAE,Ursus,arctos,,,,,"Linnaeus, 1758",
42188,Dama dama,ANIMALIA,CHORDATA,CETARTIODACTYLA,MAMMALIA,CERVIDAE,Dama,dama,,,,,"(Linnaeus, 1758)","Feldhamer <em>et al</em>. (1988) and Geist (1998) included <em>Dama mesopotamica</em> in this species, though it was regarded as a separate species from <em>D. dama</em> by Haltenorth (1959), Ferguson <em>et al</em>. (1985), Uerpmann (1987), and Harrison and Bates (1991). We follow Pitra <em>et al</em>. (2004) in treating <em>D. mesopotamica</em> as a separate species, based on a major study on the evolution and phylogeny of old world deer."
22823,Ursus maritimus,ANIMALIA,CHORDATA,CARNIVORA,MAMMALIA,URSIDAE,Ursus,maritimus,,,,,"Phipps, 1774","<p>Phipps (1774) first described the Polar Bear as a distinct species and named it <em>Ursus maritimus</em>. Other names were suggested including <em>Thalassarctos, Thalarctos, and Thalatarctos. </em>Erdbrink (1953) and Thenius (1953) ultimately settled on <em>Ursus (Thalarctos) maritimus </em>because of interbreeding between Brown Bears (<em>Ursus arctos</em>) and Polar Bears in zoos. Based on the fossil record, Kurtén (1964) recommended the Phipps (1774) name <em>Ursus maritimus,</em> which was promoted by Harington (1966), Manning (1971) and Wilson (1976) and is used today (see DeMaster and Stirling 1981, Amstrup 2003, Wilson and Reeder 2005).</p>"
